Source,Target,Weight
Apartment,Civil complaint,0.967926443
Welfare,Society,0.95189476
Development,possibility,0.95186168
Use,Apartment,0.947903335
Use,Bicycle,0.947022438
Restaurant,Program,0.945585549
Use,Restaurant,0.944644332
Capital,Bicycle,0.942078054
Bicycle,Restaurant,0.941903532
Land,possibility,0.941547155
Use,Interior,0.94077003
Welfare,Service,0.93669796
Land,Development,0.933538973
Land,Apartment,0.931117594
School,Restaurant,0.926996648
Apartment,Bicycle,0.926389456
School,Program,0.925997853
Gongsanseong fortress,Geumgang river,0.923434019
Happiness,Civil complaint,0.922137141
Interior,Restaurant,0.921204269
Use,Program,0.920277834
Interior,Program,0.919201314
Apartment,Program,0.917086184
Interior,Bicycle,0.915679812
Civil complaint,Program,0.915655673
Use,Civil complaint,0.912088573
Capital,Apartment,0.909292519
Capital,Civil complaint,0.906138003
Welfare,Banpo-myeon,0.905261874
School,Civil complaint,0.904929519
Gyeryongsan mountain,Bicycle,0.904833078
Price,Construction,0.904805839
Price,Apartment,0.904783964
Resource,Program,0.904519856
Apartment,Interior,0.903826892
Land,Management,0.902740896
Gyeryongsan mountain,Building,0.901604116
Restaurant,Civil complaint,0.901178002
Space,Creation,0.901135981
Road,Bicycle,0.900904477
Bicycle,Civil complaint,0.900312603
Apartment,Restaurant,0.89833945
Society,Banpo-myeon,0.89773643
Family,Provide,0.894859254
Experience,Provide,0.894813299
Health,Program,0.894674838
Evaluation,Selection,0.894661009
Education,Health,0.894634187
Travel,Bicycle,0.891957641
Service,Banpo-myeon,0.891658306
Price,Civil complaint,0.891354501
Gyeryongsan mountain,Restaurant,0.890324771
Journalist,Lee Kun Young,0.889574945
Happiness,School,0.888456285
Interior,Civil complaint,0.888278723
Bicycle,Program,0.888159394
Group,Institution,0.886949718
Road,Travel,0.886107743
Land,Use,0.885502815
Happiness,Apartment,0.885053217
Selection,Institution,0.884814799
School,Resource,0.884649634
School,Provide,0.884557009
Happiness,City hall,0.883450866
Visit,Center,0.880499482
Competition,City hall,0.880355835
Space,Provide,0.879989266
Rural,Resource,0.879814565
Family,School,0.879783869
City hall,Civil complaint,0.879019439
Rural,School,0.878382206
Love,School,0.877922833
Capital,Restaurant,0.875230432
Resource,Restaurant,0.873501182
Land,Evaluation,0.872494221
Event,Progress,0.871641636
Visit,Happiness,0.871270955
Capital,Use,0.870858908
Photo,Gyeryongsan mountain,0.870090544
Gongju,Happiness,0.867645025
Festival,Family,0.867113709
Agriculture,Group,0.866527259
Gyeryongsan mountain,Capital,0.865936697
Health,Resource,0.865886807
School,Afternoon,0.865173399
City,Development,0.864683092
Welfare,Public official,0.864450455
Utilization,Bicycle,0.863849401
Health,Restaurant,0.863455296
Photo,Building,0.863371611
School,Interior,0.862878025
School,Bicycle,0.862684786
Group,Program,0.862235844
Culture,Korea,0.862084806
Park,Provide,0.861657619
Management,possibility,0.861509681
Travel,Building,0.860415757
Group,Selection,0.859847605
Service,Society,0.859044194
Gongsanseong fortress,Bicycle,0.858983159
Utilization,Designation,0.858896554
Work,Interior,0.858851016
Society,Public official,0.858794034
Daejeon,Road,0.858523667
Management,Apartment,0.857152879
Gyeryongsan mountain,Location,0.856528819
Land,Bicycle,0.856162012
Land,Civil complaint,0.856043041
Banpo-myeon,Apartment,0.856032848
Happiness,Price,0.855840981
Gyeryongsan mountain,Travel,0.855818152
Volunteer,School,0.854853868
Installation,Road,0.854683995
Designation,Use,0.853057921
Capital,Interior,0.853013337
Experience,Korea,0.8529796
Price,Use,0.852333426
Gongsanseong fortress,Capital,0.852178991
Plan,Management,0.852011085
Journalist,Happiness,0.851645708
Road,Designation,0.851494908
Happiness,Afternoon,0.850626111
Visit,School,0.850560963
School,Apartment,0.850479245
Land,Price,0.850332618
Safety,Designation,0.849790692
City,Land,0.849771321
Rural,Agriculture,0.848843336
Capital,School,0.848452926
Participation,Family,0.84800446
Baekje,Location,0.847667396
Festival,Park,0.847473443
Capital,Travel,0.847469926
Experience,Event,0.846797407
Education,Information,0.845977485
Gyeryongsan mountain,Gongsanseong fortress,0.845813751
Travel,Designation,0.845040858
Gongsanseong fortress,History,0.844897389
School,Group,0.844575584
Resident,Service,0.844473362
Use,School,0.843543768
Use,Health,0.843135417
Photo,Love,0.842909753
Building,Bicycle,0.842569232
Happiness,Program,0.842474103
Resource,Group,0.842235982
Park,Nature,0.842199981
Designation,Apartment,0.841917038
Tourism,Travel,0.841685593
Administrative,Service,0.841590881
Rural,Program,0.841580391
Designation,Bicycle,0.841417193
Safety,Restaurant,0.841213942
Rural,Service,0.841071188
Experience,Family,0.840925276
Safety,Health,0.840915263
Visit,Civil complaint,0.840869009
Rural,Group,0.840759873
Gongju,Journalist,0.84067446
Participation,Provide,0.840647995
Capital,Happiness,0.840434313
