Source,Target,Weight
Village,Yangdong,0.981926024
Order,Grilled Short Rib Patties,0.944027305
Cafe,Price,0.939796686
Autumn,Maple,0.938057303
Night view,Leaf Wraps and Rice,0.936120987
Order,Menu,0.935484231
Cafe,Coffee,0.923219442
Bomun complex,Complex,0.916397929
Popular restaurant,Korean beef,0.913208604
Cafe,Menu,0.912716389
Hanok,Story,0.910740256
Menu,Grilled Short Rib Patties,0.907892883
Daereungwon,Cheonmachong,0.904893577
Silla,Era,0.899958968
Menu,Side dish,0.89722234
Bulguksa temple,Maple,0.895354748
Hanok,Experience,0.894471645
Gyeongju,Travel,0.88943547
Order,Side dish,0.889191628
Cafe,Grilled Short Rib Patties,0.885843992
Grilled Short Rib Patties,Mom,0.885625899
Bulgogi,Mom,0.883200586
Museum,Leaf Wraps and Rice,0.881237149
Arrival,Departure,0.880109906
Menu,Price,0.879705429
Silla,History,0.879696846
Appearance,Tree,0.87934345
Photo,Sound,0.878094435
Popular restaurant,Recommendation,0.875831664
Tree,Sound,0.875001311
Bus,One day,0.872884274
Village,Era,0.871263087
Cheomseongdae,Museum,0.870523512
Popular restaurant,Grilled Short Rib Patties,0.87023145
Order,Korean Table d'hote,0.868936002
Bulgogi,Meal,0.868493736
Grilled Short Rib Patties,Side dish,0.867543519
Silla,Culture,0.867010176
Anapji,Lotus,0.865476429
Side dish,Branch,0.863900065
Order,Mom,0.863569796
Side dish,Mom,0.862142205
Menu,Mom,0.861895204
Popular restaurant,Cafe,0.861594558
Menu,Coffee,0.860109627
Cherry blossom,Sightseeing,0.859263003
Leaf Wraps and Rice,Departure,0.858902693
Friend,Space,0.857480943
Gyeongju,Popular restaurant,0.85649848
Grilled Short Rib Patties,Price,0.855278134
Complex,Accomodation,0.855261981
Coffee,Price,0.854978859
Cheomseongdae,Entrance fee,0.853786051
Cafe,Mood,0.853773534
Anapji,Night view,0.853177786
Mood,Mom,0.851400495
Complex,Street,0.851234853
Cafe,Mom,0.851026952
Meal,Dinner,0.850457907
Era,Yangdong,0.849995375
Bomun complex,Korean beef,0.849303961
Bulgogi,Side dish,0.849087119
Grilled Short Rib Patties,Korean Table d'hote,0.848297298
Side dish,Korean Table d'hote,0.848129272
Travel,Popular restaurant,0.848104954
Bus,Complex,0.847785711
Bulgogi,Ready,0.846940875
Korean Table d'hote,Mom,0.846152723
Menu,Korean Table d'hote,0.845045388
Leaf Wraps and Rice,Lunch,0.844413221
Travel,Departure,0.844015121
Recommendation,Korean beef,0.843366563
Popular restaurant,Restaurant,0.843343198
Story,One day,0.842781842
Culture,History,0.841885149
Food,Side dish,0.839011908
Hanok,Sky,0.837067485
Pension,Hanok,0.836874604
Cheomseongdae,Leaf Wraps and Rice,0.835711122
Restaurant,Korean beef,0.834425509
Grilled Short Rib Patties,Recommendation,0.833546698
Arrival,Leaf Wraps and Rice,0.832597136
Bus,Accomodation,0.832393885
Friend,Wind,0.83236891
Complex,Walk,0.831847787
Utilization,Possibility,0.831337094
Cafe,Mood,0.830462098
History,Era,0.829531014
Time,Leaf Wraps and Rice,0.827531755
Bomun complex,Leaf Wraps and Rice,0.82729423
Travel,Street,0.827276468
Bulguksa temple,Autumn,0.825992942
Pension,One day,0.825974882
Restaurant,Recommendation,0.825436234
Meal,Mood,0.825423598
Side dish,Price,0.825340092
Time,One day,0.824994743
Cafe,Side dish,0.823502541
Restaurant,Grilled Short Rib Patties,0.823041975
Travel,Korean beef,0.822659135
Pension,Story,0.822269499
Departure,Street,0.819238782
Thinking,Memory,0.818716288
Complex,Leaf Wraps and Rice,0.818711519
Cheonmachong,Downtown,0.818427622
Accomodation,Leaf Wraps and Rice,0.81815809
Cafe,Order,0.817630172
Photo,Maple,0.817505419
Scenery,Walk,0.817356348
Menu,Lunch,0.817337036
Space,Possibility,0.816900194
Museum,Night view,0.815819442
Cafe,Korean beef,0.81570524
Cafe,Recommendation,0.814989328
Course,Complex,0.814665675
Culture,Era,0.814532578
Mood,Street,0.813429952
Travel,Leaf Wraps and Rice,0.813225567
Bulgogi,Grilled Short Rib Patties,0.813102007
Menu,Meal,0.812714279
Night view,Lunch,0.812331855
Hanok,One day,0.81208986
Bulgogi,Order,0.811830223
Museum,Cheonmachong,0.81178987
Meal,Mom,0.811620653
Recommendation,Korean Table d'hote,0.811483443
Coffee,Mood,0.810948014
Cafe,Meal,0.810407579
Cafe,Restaurant,0.810115218
Pension,Sky,0.810025632
Bulgogi,Menu,0.809966624
Arrival,Weather,0.809895754
Cheomseongdae,Walk,0.808986127
Anapji,Cheomseongdae,0.808609128
Grilled Short Rib Patties,Korean beef,0.808474004
