Source,Target,Weight
Seongsan,Ilchulbong,0.992829621
Order,Side dish,0.99032253
Pension,Aewol,0.980978429
Course,Braised cutlassfish,0.974188924
Order,Emotion,0.971439898
Meat,Emotion,0.971410394
Jungmun tourism complex,House,0.970784843
Cafe,Pension,0.968598127
Cutlassfish,Experience,0.967413962
Emotion,Side dish,0.966123998
Abalone,Seaside,0.966072261
Order,Braised cutlassfish,0.964233458
Braised cutlassfish,Side dish,0.960974336
Accomodation,Lunch,0.958510399
Coast,Aewol,0.958294034
Meat,Seaside,0.957596064
Reservation,Side dish,0.956302762
Cafe,Aewol,0.956300616
Seaside,Emotion,0.955638349
Airplane,Side dish,0.953830838
Braised cutlassfish,Emotion,0.953563929
Abalone,Woman diver,0.953185558
Course,Side dish,0.953049958
Popular restaurant,Meat,0.952442825
Popular restaurant,Order,0.95177263
Popular restaurant,Side dish,0.950094104
Meat,Course,0.949858606
Meal,Accomodation,0.949761391
Popular restaurant,Tree,0.949368298
WaterFall,Lunch,0.948915303
Meat,Order,0.948858559
Course,Reservation,0.947526276
Sashimi restaurant,Grilled dish,0.947387993
Meat,Braised cutlassfish,0.946698606
Jeju city,Sashimi restaurant,0.946665943
Experience,Side dish,0.946470499
Cutlassfish,Resort,0.945323527
Course,Order,0.945068061
Braised cutlassfish,Reservation,0.945042074
Meal,Lunch,0.944832623
Airplane,Emotion,0.944039583
Order,Airplane,0.943867445
Course,Emotion,0.943241596
Order,Experience,0.942714036
Wind,Sky,0.942566454
Braised cutlassfish,Airplane,0.942203999
Popular restaurant,Recommendation,0.941748977
Jeju city,Grilled dish,0.941442132
Popular restaurant,Emotion,0.941434801
Sightseeing,WaterFall,0.941397607
Order,Reservation,0.941366971
Meat,Side dish,0.941053748
Popular restaurant,Braised cutlassfish,0.94084543
Course,Seaside,0.938557267
Weather,Autumn,0.93843329
Grilled dish,Summer,0.938364625
Sea,Sky,0.936987281
Accomodation,Dinner,0.936794281
Meat,Sashimi restaurant,0.936366677
Accomodation,WaterFall,0.935385048
Airplane,Reservation,0.934738994
House,Entrance,0.934517264
Recommendation,Pension,0.934037924
Popular restaurant,Pension,0.93400991
Arrival,WaterFall,0.932549834
Popular restaurant,Seaside,0.931610644
Seongsan,WaterFall,0.931489289
Park,Tourism,0.931100368
Airplane,Sightseeing,0.930448055
Airplane,Dinner,0.9300946
Meal,WaterFall,0.929228306
Photo,Hallasan mountain,0.929156721
Seaside,Side dish,0.928688765
Popular restaurant,Course,0.928688705
Recommendation,Braised cutlassfish,0.928488255
Reservation,Grilled dish,0.927368224
Village,Tourism,0.927020729
Nature,Story,0.92693001
Ilchulbong,WaterFall,0.926891148
Experience,Resort,0.925941885
Dinner,Sightseeing,0.925293386
